,participant,filepath,accuracy,frequency,configuration,frequency_start,frequency_end
180,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,20.5,1Hz width 11 channels,20,21
181,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,20.5,1Hz width 11 channels,20,21
182,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,20.5,1Hz width 11 channels,20,21
183,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,20.5,1Hz width 11 channels,20,21
184,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,20.5,1Hz width 11 channels,20,21
185,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,20.5,1Hz width 11 channels,20,21
186,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,20.5,1Hz width 11 channels,20,21
187,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,20.5,1Hz width 11 channels,20,21
188,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,20.5,1Hz width 11 channels,20,21
189,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,20.5,1Hz width 11 channels,20,21
190,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,21.5,1Hz width 11 channels,21,22
191,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,21.5,1Hz width 11 channels,21,22
192,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,21.5,1Hz width 11 channels,21,22
193,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,21.5,1Hz width 11 channels,21,22
194,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,21.5,1Hz width 11 channels,21,22
195,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,21.5,1Hz width 11 channels,21,22
196,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,21.5,1Hz width 11 channels,21,22
197,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,21.5,1Hz width 11 channels,21,22
198,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,21.5,1Hz width 11 channels,21,22
199,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,21.5,1Hz width 11 channels,21,22
200,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,22.5,1Hz width 11 channels,22,23
201,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,22.5,1Hz width 11 channels,22,23
202,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,22.5,1Hz width 11 channels,22,23
203,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,22.5,1Hz width 11 channels,22,23
204,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,22.5,1Hz width 11 channels,22,23
205,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,22.5,1Hz width 11 channels,22,23
206,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,22.5,1Hz width 11 channels,22,23
207,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,22.5,1Hz width 11 channels,22,23
208,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,22.5,1Hz width 11 channels,22,23
209,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,22.5,1Hz width 11 channels,22,23
210,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
211,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
212,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,23.5,1Hz width 11 channels,23,24
213,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,23.5,1Hz width 11 channels,23,24
214,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,23.5,1Hz width 11 channels,23,24
215,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
216,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
217,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
218,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
219,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,23.5,1Hz width 11 channels,23,24
220,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.875,24.5,1Hz width 11 channels,24,25
221,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,24.5,1Hz width 11 channels,24,25
222,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,24.5,1Hz width 11 channels,24,25
223,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,24.5,1Hz width 11 channels,24,25
224,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,24.5,1Hz width 11 channels,24,25
225,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,24.5,1Hz width 11 channels,24,25
226,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,24.5,1Hz width 11 channels,24,25
227,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,24.5,1Hz width 11 channels,24,25
228,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,24.5,1Hz width 11 channels,24,25
229,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,24.5,1Hz width 11 channels,24,25
230,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,25.5,1Hz width 11 channels,25,26
231,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,25.5,1Hz width 11 channels,25,26
232,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,25.5,1Hz width 11 channels,25,26
233,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,25.5,1Hz width 11 channels,25,26
234,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,25.5,1Hz width 11 channels,25,26
235,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,25.5,1Hz width 11 channels,25,26
236,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,25.5,1Hz width 11 channels,25,26
237,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,25.5,1Hz width 11 channels,25,26
238,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,25.5,1Hz width 11 channels,25,26
239,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,25.5,1Hz width 11 channels,25,26
240,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,26.5,1Hz width 11 channels,26,27
241,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,26.5,1Hz width 11 channels,26,27
242,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,26.5,1Hz width 11 channels,26,27
243,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,26.5,1Hz width 11 channels,26,27
244,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,26.5,1Hz width 11 channels,26,27
245,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,26.5,1Hz width 11 channels,26,27
246,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.125,26.5,1Hz width 11 channels,26,27
247,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,26.5,1Hz width 11 channels,26,27
248,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,26.5,1Hz width 11 channels,26,27
249,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,26.5,1Hz width 11 channels,26,27
250,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,27.5,1Hz width 11 channels,27,28
251,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,27.5,1Hz width 11 channels,27,28
252,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.25,27.5,1Hz width 11 channels,27,28
253,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,27.5,1Hz width 11 channels,27,28
254,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,27.5,1Hz width 11 channels,27,28
255,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,27.5,1Hz width 11 channels,27,28
256,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,27.5,1Hz width 11 channels,27,28
257,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.375,27.5,1Hz width 11 channels,27,28
258,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.5,27.5,1Hz width 11 channels,27,28
259,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.75,27.5,1Hz width 11 channels,27,28
260,data_b,data_b\2023-02-23T09-57-46 text 1.edf,0.625,28.5,1Hz width 11 channels,28,29
